Código,Marca,Modelo
50010,ASIA,AM 825 MINI BUS AA DH
50012,ASIA,TOWNER PICK-UP
50013,ASIA,TOPIC MINIBUS 15 PAX STD
50014,ASIA,TOPIC MINIBUS 15 PAX FULL
50015,ASIA,TOPIC MINIBUS 15 PAX DH
50016,ASIA,TOWNER MINIBUS STD
60001,AUDI,80
60002,AUDI,A4 1.8
60003,AUDI,A4 1.8 AUT
60004,AUDI,A4 2.8 V6
60005,AUDI,A4 2.8 V6 QUATTRO
60006,AUDI,100 AVANT 2.8 V6
60007,AUDI,100 AVANT 2.8 V6 AUT
60008,AUDI,A6 2.8 V6 L/94
60009,AUDI,A6 2.8 V6 L/94 AUT
60012,AUDI,100 AVANT 2.5 TDI
60013,AUDI,A6 2.8 V6 L/94 AVANT
60014,AUDI,80 AVANT 2.0 AUT
60015,AUDI,80 AVANT 2.0 E
60016,AUDI,80 AVANT 1.9 TDI
60017,AUDI,80 D
60018,AUDI,100 GL5 S
60019,AUDI,100 LIMOUSINE 2.8 E V6
60020,AUDI,100 LIMOUSINE 2.8 E V6 AUT
60021,AUDI,100 CD
60022,AUDI,80 LIMOUSINE 2.0 E
60023,AUDI,80 LIMOUSINE 2.8 V6
60024,AUDI,200 TURBO
60025,AUDI,A3 1.8 3 PTAS
60026,AUDI,A3 1.8T 150 HP 3 P ATTRACTION
60027,AUDI,A6 2.5 TDI AVANT
60030,AUDI,A4 1.8 AVANT
60031,AUDI,A4 1.8 AVANT AUT
60032,AUDI,A4 1.8 AVANT QUATTRO
60033,AUDI,A4 1.8 T. AVANT
60034,AUDI,A4 1.8 T. AVANT TIPTRONIC
60035,AUDI,A4 1.8 T. AVANT QUATTRO
60036,AUDI,A4 1.8 T. AVANT QUATTRO TIP.
60037,AUDI,A4 2.8 V6 AVANT
60038,AUDI,A4 2.8 V6 AVANT TIPTRONIC
60039,AUDI,A4 2.8 V6 AVANT QUATTRO
60040,AUDI,A4 2.8 V6 AVANT QUATTRO TIP.
60041,AUDI,A4 1.9 TDI AVANT
60042,AUDI,A4 1.9 TDI AVANT QUATTRO
